曲名,アーティスト,YT投稿日,YT再生数,漢字ポジティブ合計スコア,ポジティブな漢字割合,ネガティブな漢字割合,標準偏差,ポジ最大,ネガ最大,最もポジティブな漢字,最もネガティブな漢字,漢字頻度順
POP IN 2,B小町,2024-10-08,12846125,-1.18302421271801,37.096774193548400,62.903225806451600,0.0531982,0.17621064,-0.10059634,歌,毒,行(6) 先(6) 愛(4) 現(4) 忍(4) 増(4) 手(3) 乙(3) 女(3) 秘(2) 密(2) 馬(2) 取(2) 早(2) 見(2) 結(2) 局(2) 隣(2) 踏(2) 蹴(2) 上(2) 変(2) 置(2) 全(2) 力(2) 狂(2) 地(2) 獄(2) 夢(2) 中(2) 毒(2) 連(1) 探(1) 考(1) 玉(1) 箱(1) 足(1) 一(1) 瞬(1) 離(1) 目(1) 混(1) 群(1) 歌(1) 列(1) 車(1) 予(1) 感(1) 流(1) 星(1) 乗(1) 時(1) 代(1) 成(1) 式(1) 絡(1) 繋(1) 来(1) 隠(1) 客(1) 席(1) 不(1) 安(1) 番(1) 着(1) 替(1) 下(1) 横(1) 天(1) 国(1) 大(1) 作(1) 申(1) 呼(1)
Bunny Girl,AKASAKI,2024-10-01,16555005,2.2517576962709400,58.47457627118640,41.52542372881360,0.054424018,0.13706866,-0.11811778,愛,汚,君(8) 始(5) 愛(5) 目(4) 夜(3) 誘(3) 惑(3) 鼓(3) 動(3) 弾(3) 飛(3) 葛(3) 藤(3) 乾(3) 杯(3) 伝(3) 誰(3) 穿(3) 澄(3) 孕(3) 私(3) 恋(2) 刻(2) 分(2) 気(2) 理(2) 顔(2) 度(2) 仕(1) 事(1) 帰(1) 疲(1) 自(1) 好(1) 縋(1) 世(1) 間(1) 対(1) 持(1) 注(1) 込(1) 汚(1) 見(1) 下(1) 向(1) 無(1) 矢(1) 剥(1) 手(1) 差(1) 伸(1) 知(1) 感(1) 去(1) 毎(1) 泣(1) 色(1) 今(1) 委(1)
UNDEAD,YOASOBI,2024-09-14,26824329,-4.7539243921637500,30.45267489711930,69.54732510288070,0.052722745,0.13773179,-0.12137893,生,出,人(7) 分(7) 生(6) 自(6) 前(6) 来(5) 何(5) 死(5) 在(5) 幸(5) 出(5) 目(4) 気(4) 物(4) 化(4) 指(3) 過(3) 去(3) 未(3) 世(3) 悩(2) 子(2) 成(2) 者(2) 弛(2) 退(2) 屈(2) 古(2) 今(2) 東(2) 西(2) 触(2) 透(2) 残(2) 念(2) 現(2) 要(2) 連(2) 鎖(2) 不(2) 奇(2) 怪(2) 語(2) 話(2) 事(2) 果(2) 慣(2) 同(2) 時(2) 全(2) 部(2) 切(2) 逸(1) 戦(1) 明(1) 亡(1) 霊(1) 対(1) 決(1) 幼(1) 痛(1) 記(1) 憶(1) 奥(1) 居(1) 良(1) 消(1) 取(1) 憑(1) 巻(1) 付(1) 離(1) 日(1) 変(1) 続(1) 甘(1) 満(1) 足(1) 卑(1) 怯(1) 次(1) 鬼(1) 蛇(1) 会(1) 遭(1) 始(1) 閑(1) 休(1) 題(1) 希(1) 望(1) 期(1) 待(1) 随(1) 既(1) 視(1) 感(1) 食(1) 傷(1) 素(1) 敵(1) 配(1) 積(1) 経(1) 験(1) 因(1) 形(1) 骸(1) 神(1) 進(1) 刺(1) 激(1) 欲(1) 飽(1) 整(1) 増(1) 蓋(1) 吸(1) 尽(1) 味(1) 愚(1) 直(1) 言(1) 諦(1) 苦(1) 耐(1) 然(1) 屍(1) 浸(1) 一(1) 合(1) 森(1) 羅(1) 万(1) 象(1) 所(1) 憂(1) 抜(1)
幽霊船戦,宝鐘マリン,2024-07-30,11808037,-2.465854339301590,44.39252336448600,55.60747663551400,0.056008942,0.13944751,-0.1690867,夢,説,私(6) 宝(4) 船(4) 海(4) 夜(3) 夢(3) 命(3) 貴(3) 方(3) 望(3) 出(3) 金(2) 呪(2) 幽(2) 富(2) 賊(2) 美(2) 色(2) 彩(2) 舟(2) 黒(2) 掴(2) 珠(2) 玉(2) 宿(2) 魂(2) 手(2) 放(2) 悪(2) 逃(2) 自(2) 縛(2) 付(2) 永(2) 航(2) 行(2) 千(1) 黄(1) 数(1) 百(1) 年(1) 財(1) 眠(1) 古(1) 伝(1) 説(1) 霊(1) 続(1) 潮(1) 路(1) 遺(1) 頂(1) 無(1) 謀(1) 赤(1) 若(1) 盗(1) 人(1) 後(1) 悔(1) 代(1) 止(1) 雨(1) 弾(1) 丸(1) 駆(1) 鼓(1) 動(1) 脚(1) 走(1) 瞳(1) 焦(1) 生(1) 炎(1) 攫(1) 石(1) 奪(1) 証(1) 求(1) 全(1) 輝(1) 錆(1) 泥(1) 泡(1) 沫(1) 共(1) 沈(1) 帆(1) 隠(1) 極(1) 上(1) 秘(1) 笑(1) 満(1) 月(1) 銀(1) 七(1) 集(1) 虫(1) 狙(1) 愚(1) 者(1) 思(1) 知(1) 相(1) 応(1) 持(1) 主(1) 群(1) 影(1) 底(1) 忍(1) 寄(1) 絶(1) 渦(1) 蓋(1) 閉(1) 箱(1) 光(1) 消(1) 誰(1) 前(1) 忘(1) 去(1) 諦(1) 中(1) 欲(1) 重(1) 枷(1) 負(1) 嘆(1) 分(1) 身(1) 信(1) 込(1) 気(1) 口(1) 久(1) 域(1) 目(1) 覚(1) 連(1) 曳(1) 純(1) 紅(1) 朽(1) 果(1) 枯(1) 万(1) 遠(1) 貌(1) 幻(1) 決(1) 意(1) 明(1) 舵(1) 向(1) 曰(1) 希(1) 残(1) 他(1)
ホムンクルス,Vaundy,2024-07-25,12007030,-2.247857019305230,33.125,66.875,0.046417754,0.13706866,-0.12137893,愛,出,起(6) 爆(6) 来(5) 目(4) 不(4) 合(4) 解(3) 確(3) 歩(3) 脱(3) 言(3) 肩(2) 揉(2) 上(2) 等(2) 開(2) 幕(2) 放(2) 万(2) 歳(2) 障(2) 壁(2) 崩(2) 壊(2) 行(2) 喝(2) 采(2) 満(2) 覚(2) 穏(2) 晴(2) 濁(2) 到(2) 風(2) 方(2) 出(2) 念(2) 且(2) 自(2) 暴(2) 論(2) 一(2) 時(2) 振(2) 抱(2) 未(2) 見(2) 大(2) 切(2) 思(2) 温(2) 小(1) 次(1) 第(1) 煮(1) 立(1) 終(1) 鼓(1) 舞(1) 気(1) 奪(1) 取(1) 今(1) 迷(1) 走(1) 帰(1) 結(1) 無(1) 事(1) 誤(1) 線(1) 懲(1) 俺(1) 心(1) 払(1) 痛(1) 参(1) 愛(1) 美(1) 飾(1) 霊(1) 度(1) 希(1) 望(1) 剥(1) 愚(1) 浸(1)
ファタール - Fatal,GEMN,2024-07-05,46868844,-1.048656452447180,40.845070422535200,59.154929577464800,0.06574865,0.13944751,-0.13175821,夢,膿,的(29) 命(22) 愛(12) 致(10) 運(10) 必(9) 然(9) 何(8) 僕(7) 夢(5) 哀(5) 見(5) 星(4) 宿(4) 眩(4) 生(4) 足(4) 最(4) 度(4) 身(3) 願(3) 狂(2) 呪(2) 続(2) 様(2) 渇(2) 可(2) 想(2) 全(2) 光(2) 落(2) 欠(2) 手(2) 声(2) 聞(2) 傷(2) 器(2) 悔(2) 照(2) 捧(2) 埋(2) 胸(2) 舞(2) 映(2) 覚(1) 濡(1) 瞼(1) 開(1) 思(1) 残(1) 遠(1) 日(1) 無(1) 力(1) 焼(1) 絶(1) 望(1) 糧(1) 憧(1) 焦(1) 燃(1) 孤(1) 独(1) 救(1) 影(1) 勝(1) 巨(1) 絡(1) 歪(1) 刻(1) 痛(1) 武(1) 後(1) 遥(1) 彼(1) 方(1) 放(1) 美(1) 灼(1) 眼(1) 羽(1) 根(1) 創(1) 造(1) 堕(1) 天(1) 視(1) 界(1) 輝(1) 奥(1) 仕(1) 感(1) 情(1) 引(1) 張(1) 出(1) 昇(1) 華(1) 部(1) 抱(1) 欲(1) 中(1) 誰(1) 幸(1) 福(1) 注(1) 満(1) 膿(1) 撫(1) 台(1) 掻(1) 一(1) 近(1) 固(1) 定(1) 闇(1) 穴(1)
サツキ (Satsuki) - メズマライザー (Mesmerizer) (Romanized),32ki,2024-05-16,14488539,-3.90779135748744,34.76190476190480,65.23809523809520,0.05357806,0.13773179,-0.14203492,生,偽,性(5) 心(4) 騙(4) 動(4) 眠(4) 実(3) 脆(3) 身(3) 本(3) 目(3) 前(3) 無(3) 気(2) 減(2) 最(2) 美(2) 適(2) 物(2) 事(2) 象(2) 時(2) 代(2) 誂(2) 見(2) 呉(2) 弱(2) 当(2) 芝(2) 居(2) 矢(2) 鱈(2) 煩(2) 臓(2) 鼓(2) 生(2) 段(2) 浅(2) 催(2) 術(2) 頭(2) 体(2) 煙(2) 巻(2) 数(2) 多(2) 誑(2) 揺(2) 硬(2) 貨(2) 彼(2) 方(2) 運(2) 際(1) 感(1) 情(1) 付(1) 絶(1) 対(1) 的(1) 虚(1) 中(1) 安(1) 置(1) 傷(1) 切(1) 売(1) 叫(1) 醜(1) 態(1) 高(1) 級(1) 逃(1) 避(1) 行(1) 甘(1) 罠(1) 釣(1) 救(1) 正(1) 沙(1) 汰(1) 娑(1) 婆(1) 敢(1) 素(1) 知(1) 顔(1) 任(1) 解(1) 言(1) 葉(1) 飾(1) 花(1) 束(1) 奪(1) 全(1) 染(1) 招(1) 待(1) 残(1) 機(1) 疾(1) 擦(1) 耐(1) 久(1) 躱(1) 手(1) 一(1) 杯(1) 誰(1) 助(1) 自(1) 分(1) 今(1) 日(1) 抜(1) 報(1) 惰(1) 瞬(1) 間(1) 続(1) 希(1) 望(1) 尚(1) 更(1) 諦(1) 余(1) 勝(1) 負(1) 命(1) 賛(1) 意(1) 味(1) 偽(1) 現(1) 直(1) 視(1) 失(1) 明(1) 度(1)
Masterplan,BE:FIRST,2024-04-22,31789872,-2.448095500469210,33.97435897435900,66.02564102564100,0.05516947,0.117716074,-0.15740958,君,価,最(5) 全(4) 導(4) 足(4) 答(4) 見(3) 遥(3) 昔(3) 確(3) 価(3) 値(3) 探(3) 跡(3) 声(3) 求(3) 初(3) 聞(3) 飾(3) 代(3) 過(3) 去(3) 未(3) 来(3) 重(3) 俺(2) 君(2) 続(2) 以(2) 当(2) 前(2) 間(2) 理(1) 解(1) 不(1) 能(1) 錆(1) 僕(1) 測(1) 振(1) 切(1) 高(1) 傑(1) 作(1) 低(1) 条(1) 件(1) 目(1) 入(1) 冠(1) 部(1) 持(1) 努(1) 力(1) 苦(1) 運(1) 引(1) 寄(1) 常(1) 識(1) 達(1) 正(1) 言(1) 無(1) 神(1) 簡(1) 単(1) 証(1) 明(1) 成(1) 功(1) 外(1) 一(1) 回(1) 然(1) 万(1) 馬(1) 券(1) 場(1) 面(1) 衝(1) 撃(1) 的(1) 瞬(1) 連(1) 時(1) 期(1) 待(1) 通(1) 物(1) 想(1) 像(1) 上(1) 早(1) 抜(1) 出(1)
絶対零度,natori,2024-04-18,25402927,-1.962474346160890,40.562248995983900,59.43775100401610,0.052459743,0.17621064,-0.12771535,歌,臭,度(14) 全(9) 僕(8) 部(7) 絶(7) 何(7) 声(5) 燃(5) 対(5) 零(5) 合(4) 来(4) 尽(4) 息(3) 未(3) 前(3) 夜(3) 悪(3) 目(3) 聞(3) 不(3) 安(3) 定(3) 延(3) 長(3) 線(3) 上(3) 日(3) 奪(3) 抱(3) 泣(2) 遠(2) 一(2) 命(2) 明(2) 消(2) 確(2) 今(2) 理(2) 由(2) 体(2) 裁(2) 関(2) 係(2) 返(2) 以(2) 錆(2) 臭(2) 街(2) 匂(2) 喧(2) 騒(2) 罰(2) 被(2) 害(2) 者(2) 善(2) 刺(2) 戦(2) 感(2) 情(2) 止(2) 歩(2) 強(1) 願(1) 歌(1) 革(1) 嫉(1) 妬(1) 意(1) 飲(1) 込(1) 継(1) 図(1) 愛(1) 守(1) 必(1) 要(1) 言(1) 訳(1) 決(1) 繰(1) 地(1) 獄(1) 方(1) 哨(1) 途(1) 思(1) 出(1) 鳴(1) 揺(1) 臆(1) 病(1) 苛(1) 立(1) 愚(1) 過(1) 去(1) 痛(1) 白(1) 黒(1) 叫(1) 運(1) 望(1) 映(1) 生(1) 間(1) 違(1) 雨(1) 降(1) 凍(1)
I wonder,Da-iCE,2024-04-17,35774523,0.0993471220135688,47.77777777777780,52.22222222222220,0.053046748,0.13706866,-0.12137893,愛,出,色(4) 止(3) 音(2) 変(2) 記(2) 憶(2) 方(2) 鼓(2) 動(2) 鳴(2) 分(2) 愛(2) 見(2) 透(2) 明(2) 彩(2) 淡(2) 甘(2) 曖(2) 昧(2) 探(2) 素(2) 直(2) 君(2) 真(2) 実(2) 描(2) 空(1) 白(1) 彼(1) 足(1) 跡(1) 辿(1) 道(1) 立(1) 八(1) 美(1) 人(1) 誤(1) 魔(1) 化(1) 燦(1) 霧(1) 向(1) 教(1) 自(1) 出(1) 会(1) 時(1) 未(1) 来(1) 訪(1) 重(1) 涙(1) 流(1) 虹(1) 欠(1) 片(1) 誰(1) 呼(1)
